point_id,x,y,freq_hz,field_db,noise_db,device_id,calib_version
P01,8.0,10.0,100,-4.5,-38.9,FSM-01,CAL-2025B
P01,8.0,10.0,500,-6.3,-38.6,FSM-01,CAL-2025B
P01,8.0,10.0,1000,-5.9,-37.6,FSM-01,CAL-2025B
P01,8.0,10.0,2000,-5.8,-38.8,FSM-01,CAL-2025B
P01,8.0,10.0,4000,-7.2,-38.9,FSM-01,CAL-2025B
P01,8.0,10.0,5000,-7.3,-38.0,FSM-01,CAL-2025B
P02,13.0,10.0,100,-4.9,-38.6,FSM-02,CAL-2026A
P02,13.0,10.0,500,-5.9,-37.9,FSM-02,CAL-2026A
P02,13.0,10.0,1000,-6.3,-37.8,FSM-02,CAL-2026A
P02,13.0,10.0,2000,-5.8,-39.0,FSM-02,CAL-2026A
P02,13.0,10.0,4000,-6.8,-37.6,FSM-02,CAL-2026A
P02,13.0,10.0,5000,-7.2,-38.7,FSM-02,CAL-2026A
P03,18.0,10.0,100,-4.1,-38.3,FSM-01,CAL-2025B
P03,18.0,10.0,500,-6.3,-38.8,FSM-01,CAL-2025B
P03,18.0,10.0,1000,-5.7,-37.8,FSM-01,CAL-2025B
P03,18.0,10.0,2000,-5.7,-37.5,FSM-01,CAL-2025B
P03,18.0,10.0,4000,-6.9,-37.1,FSM-01,CAL-2025B
P03,18.0,10.0,5000,-7.0,-37.9,FSM-01,CAL-2025B
P04,23.0,10.0,100,-4.1,-37.8,FSM-02,CAL-2026A
P04,23.0,10.0,500,-5.6,-37.8,FSM-02,CAL-2026A
P04,23.0,10.0,1000,-5.7,-38.9,FSM-02,CAL-2026A
P04,23.0,10.0,2000,-6.1,-38.4,FSM-02,CAL-2026A
P04,23.0,10.0,4000,-7.2,-38.5,FSM-02,CAL-2026A
P04,23.0,10.0,5000,-7.2,-38.4,FSM-02,CAL-2026A
P05,28.0,10.0,100,-4.3,-38.3,FSM-01,CAL-2025B
P05,28.0,10.0,500,-6.0,-38.6,FSM-01,CAL-2025B
P05,28.0,10.0,1000,-6.1,-37.1,FSM-01,CAL-2025B
P05,28.0,10.0,2000,-5.8,-37.8,FSM-01,CAL-2025B
P05,28.0,10.0,4000,-7.2,-37.5,FSM-01,CAL-2025B
P05,28.0,10.0,5000,-7.2,-38.2,FSM-01,CAL-2025B
P06,33.0,10.0,100,-4.1,-37.7,FSM-02,CAL-2026A
P06,33.0,10.0,500,-6.0,-37.6,FSM-02,CAL-2026A
P06,33.0,10.0,1000,-5.8,-37.4,FSM-02,CAL-2026A
P06,33.0,10.0,2000,-6.3,-38.9,FSM-02,CAL-2026A
P06,33.0,10.0,4000,-7.2,-38.5,FSM-02,CAL-2026A
P06,33.0,10.0,5000,-7.3,-37.1,FSM-02,CAL-2026A
P07,38.0,10.0,100,-4.3,-38.4,FSM-01,CAL-2025B
P07,38.0,10.0,500,-6.0,-38.2,FSM-01,CAL-2025B
P07,38.0,10.0,1000,-5.8,-38.1,FSM-01,CAL-2025B
P07,38.0,10.0,2000,-6.3,-38.5,FSM-01,CAL-2025B
P07,38.0,10.0,4000,-7.1,-38.5,FSM-01,CAL-2025B
P07,38.0,10.0,5000,-7.0,-37.2,FSM-01,CAL-2025B
P08,43.0,10.0,100,-4.7,-38.6,FSM-02,CAL-2026A
P08,43.0,10.0,500,-5.7,-38.0,FSM-02,CAL-2026A
P08,43.0,10.0,1000,-6.4,-38.9,FSM-02,CAL-2026A
P08,43.0,10.0,2000,-6.4,-37.7,FSM-02,CAL-2026A
P08,43.0,10.0,4000,-6.9,-38.2,FSM-02,CAL-2026A
P08,43.0,10.0,5000,-7.4,-38.2,FSM-02,CAL-2026A
P09,48.0,10.0,100,-4.1,-37.9,FSM-01,CAL-2025B
P09,48.0,10.0,500,-5.6,-37.3,FSM-01,CAL-2025B
P09,48.0,10.0,1000,-6.4,-37.6,FSM-01,CAL-2025B
P09,48.0,10.0,2000,-5.8,-37.9,FSM-01,CAL-2025B
P09,48.0,10.0,4000,-7.2,-37.7,FSM-01,CAL-2025B
P09,48.0,10.0,5000,-7.3,-38.1,FSM-01,CAL-2025B
P10,53.0,10.0,100,-4.7,-37.1,FSM-02,CAL-2026A
P10,53.0,10.0,500,-5.8,-38.5,FSM-02,CAL-2026A
P10,53.0,10.0,1000,-6.1,-38.6,FSM-02,CAL-2026A
